analysis	cohort	sample	signal	width	jsd	tv	hellinger	oops_ap	zoops_ap	oops_conf	zoops_conf	zoops_fraction	oops_resampling	zoops_resampling
ctcf_initial	calu3-development	1	0.0	19	0.4453230481303887			0.07048673543355653	0.0734237519226507	5.253359792244546	6.506137617957763	0.169	0.003983443231538129	0.4154288990911667
ctcf_initial	calu3-development	1	10.0	19	0.37970322476175217			0.07087549861352548	0.07349346438862098	4.526732119708192	6.384297742623981	0.153	0.10597305029820074	0.4144196190677751
ctcf_initial	calu3-development	1	25.0	19	0.3741006505392226			0.071487536694866	0.07370237013815707	0.9849883564126856	6.212094396709392	0.133	0.009192715068482986	0.012309936017121074
ctcf_initial	calu3-development	1	50.0	19	0.3233684973171072			0.07308005309802829	0.07382178043983963	0.0	5.751549196891575	0.202	0.11101179361147469	0.13073560223451589
ctcf_initial	calu3-development	1	75.0	19	0.010651465080804598			0.6701289254177	0.706216688823809	6.377721396556377	6.712905904533554	0.643	0.0034491947998104085	0.003475107444439667
ctcf_initial	calu3-development	1	100.0	19	0.10369798912896037			0.7005936083153126	0.7125598694584888	7.024652913724925	7.131153804797686	0.809	0.10186225511625935	0.0013323285063980904
ctcf_initial	calu3-development	2	0.0	19	0.3446293937644181			0.07061526626483583	0.07426704448483161	5.401757499528886	6.511966318079786	0.152	0.007601483739085304	0.10984072708842114
ctcf_initial	calu3-development	2	10.0	19	0.3519220926790402			0.07078499589902822	0.07475376511586619	4.969843610265255	6.452113555832654	0.142	0.1123639826107464	0.11142113942785495
ctcf_initial	calu3-development	2	25.0	19	0.34382213366877046			0.07083172322305577	0.07494600368206328	4.408682573668036	6.288914946665315	0.123	0.01078983462717973	0.11111964774934632
ctcf_initial	calu3-development	2	50.0	19	0.3474460560458627			0.07155707840490033	0.07530259942631662	0.0	5.966040598400816	0.096	0.1128105435124234	0.012562674744850072
ctcf_initial	calu3-development	2	75.0	19	0.013752301113975412			0.6585214949096216	0.7040731622798659	6.147736355719843	6.623172268994521	0.579	0.10224809717790348	0.0029013984165780944
ctcf_initial	calu3-development	2	100.0	19	0.005267784931212233			0.6951161746864107	0.7103334111105727	6.971594323124534	7.080466536716171	0.791	0.0015024537002192718	0.0022289508599179315
ctcf_initial	calu3-development	3	0.0	19	0.4171796563070604			0.07095412384660464	0.07302043667369743	5.528976829098055	6.5867056035108265	0.189	0.1074883524106179	0.4436649567305738
ctcf_initial	calu3-development	3	10.0	19	0.4420489407811627			0.07130182994661664	0.07535790210550992	5.039604507632323	6.459584966754223	0.159	0.10632630972177363	0.4369597662932231
ctcf_initial	calu3-development	3	25.0	19	0.29005085518405205			0.07180241918197473	0.07232043063987315	4.453426159974374	6.312418333590505	0.145	0.10797252586628843	0.5109911262711894
ctcf_initial	calu3-development	3	50.0	19	0.28412988933767064			0.07305821713814152	0.07291827322134849	0.0	5.86330742048965	0.116	0.11228780195517352	0.5237308547379799
ctcf_initial	calu3-development	3	75.0	19	0.012733151097188214			0.6726020163081956	0.7077469181482234	6.229054690343476	6.664959631843132	0.619	0.003196263464768929	0.004932269313167886
ctcf_initial	calu3-development	3	100.0	19	0.1047640769239451			0.704860871407587	0.7132957546308775	6.943627004710163	7.0871295978364	0.795	0.002558345707279847	0.002713539455701482
ctcf_initial	calu3-development	4	0.0	19	0.08998821916670152			0.07033558695543352	0.07005737789206473	5.559218209807204	6.519673030721569	0.189	0.007888076856104482	0.42940216664514896
ctcf_initial	calu3-development	4	10.0	19	0.09833091418851488			0.07056683486466009	0.07014351681392146	5.180348405767442	6.403978296978327	0.169	0.10743886971229048	0.4329171222298884
ctcf_initial	calu3-development	4	25.0	19	0.10861757775986025			0.0711574318331414	0.06996833015749758	4.293493856616933	6.275693508217994	0.147	0.10826867311039405	0.4423797891853652
ctcf_initial	calu3-development	4	50.0	19	0.3154235839206082			0.07184667561809996	0.07449858426558224	0.0	5.758346126603147	0.202	0.11648595937190902	0.4755236654185953
ctcf_initial	calu3-development	4	75.0	19	0.014296523123286836			0.6653107141854663	0.7076392087271067	6.336941656371554	6.7324665380601205	0.59	0.193061833006722	0.0030938543546681686
ctcf_initial	calu3-development	4	100.0	19	0.004186839083972772			0.7021000095779981	0.7104518659453075	7.081374126811668	7.172146927044091	0.813	0.0023102598737451607	0.002576207568074232
ctcf_initial	calu3-development	5	0.0	19	0.3790302814923676			0.07080126419367487	0.07328610842376818	5.735913629047805	6.600792224912571	0.173	0.1125949108045055	0.5659855353466997
ctcf_initial	calu3-development	5	10.0	19	0.3842753120186227			0.07087213535613819	0.07335732763130853	5.511134981512934	6.513390195126795	0.157	0.008224678222424576	0.006985687033634464
ctcf_initial	calu3-development	5	25.0	19	0.46679474732229165			0.07117704458275352	0.07309342178572753	4.913367205601067	6.380439582641142	0.135	0.10909855711659792	0.5747298563198051
ctcf_initial	calu3-development	5	50.0	19	0.4629745032611595			0.07188262505385941	0.07321818010204965	0.0	5.980769375854676	0.099	0.11469414146981201	0.5657690530941597
ctcf_initial	calu3-development	5	75.0	19	0.11188266551206849			0.679847971963943	0.7094231059320784	6.354063748226647	6.740346616512434	0.611	0.10360949159161163	0.0032812081730072724
